ID,Replace,Description,Str
EDITOR_QUIT_P_MSG,0,에디터 종료 팝업 메세지,Are you sure you want to quit the editor?
EDITOR_REMOVE_LP_MSG,0,에디터 레벨 제거 팝업 메세지,Are you sure you want to remove the level?
EDITOR_REMOVE_SP_MSG,0,에디터 스테이지 제거 팝업 메세지,Are you sure you want to remove the stage?
EDITOR_REMOVE_CP_MSG,0,에디터 챕터 제거 팝업 메세지,Are you sure you want to remove the chapter?
QUIT_P_MSG,0,종료 팝업 메세지,Are you sure you want to quit the game?
UPDATE_P_MSG,0,업데이트 팝업 메세지,A new version has been released.\nWould you like to update it?
AGREE_P_SERVICES_TITLE,0,약관 동의 팝업 서비스 제목,Terms of Service
AGREE_P_PRIVACY_TITLE,0,약관 동의 팝업 개인 정보 제목,Privacy Policy
AGREE_P_EU_TITLE,0,약관 동의 팝업 EU 제목,Notice
AGREE_P_DESC_TEXT_01,0,약관 동의 팝업 설명 텍스트 1,Tap OK to accept our
AGREE_P_DESC_TEXT_02,0,약관 동의 팝업 설명 텍스트 2,and
AGREE_P_SERVICES_BTN_TEXT,0,약관 동의 팝업 서비스 버튼 텍스트,Terms of Service
AGREE_P_PRIVACY_BTN_TEXT,0,약관 동의 팝업 개인 정보 버튼 텍스트,Privacy Policy
DESC_P_TITLE,0,설명 팝업 제목,Notice
DESC_P_MSG,0,설명 팝업 메세지,Allow tracking on the\nnext screen for
DESC_P_DESC_MSG_01,0,설명 팝업 설명 메세지 1,∙ Special offers and promotions\njust for you
DESC_P_DESC_MSG_02,0,설명 팝업 설명 메세지 2,∙ Advertisements that match\nyour interests
DESC_P_DESC_MSG_03,0,설명 팝업 설명 메세지 3,∙ An improved personalized\nexperience over time
START_SM_LOADING_TEXT,0,시작 씬 관리자 로딩 텍스트,Loading
COMMON_LOGIN_SUCCESS_MSG,0,공용 로그인 성공 메세지,You have successfully login
COMMON_LOGIN_FAIL_MSG,0,공용 로그인 실패 메세지,You have failed to login
COMMON_LOGOUT_SUCCESS_MSG,0,공용 로그아웃 성공 메세지,You have successfully logout
COMMON_LOGOUT_FAIL_MSG,0,공용 로그아웃 실패 메세지,You have failed to logout
COMMON_LOAD_SUCCESS_MSG,0,공용 로드 성공 메세지,You have successfully loaded progress.
COMMON_LOAD_FAIL_MSG,0,공용 로드 실패 메세지,You have failed to load progress.
COMMON_SAVE_SUCCESS_MSG,0,공용 저장 성공 메세지,You have successfully saved progress.
COMMON_SAVE_FAIL_MSG,0,공용 저장 실패 메세지,You have failed to save progress.
COMMON_PURCHASE_SUCCESS_MSG,0,공용 결제 성공 메세지,You have successfully purchased this product.
COMMON_PURCHASE_FAIL_MSG,0,공용 결제 실패 메세지,You have failed to purchase this product.
COMMON_RESTORE_SUCCESS_MSG,0,공용 복원 성공 메세지,The product has been restored.
COMMON_RESTORE_FAIL_MSG,0,공용 복원 실패 메세지,Failed to restore the product.
COMMON_OK_TEXT,0,공용 확인 텍스트,OK
COMMON_CANCEL_TEXT,0,공용 취소 텍스트,Cancel
COMMON_AGREE_TEXT,0,공용 동의 텍스트,Agree
COMMON_GET_TEXT,0,공용 획득 텍스트,Get
COMMON_NEXT_TEXT,0,공용 다음 텍스트,Next
COMMON_LEAVE_TEXT,0,공용 나가기 텍스트,Leave
COMMON_SYNC_TEXT,0,공용 동기화 텍스트,Sync
COMMON_LOGIN_TEXT,0,공용 로그인 텍스트,Login
COMMON_LOGOUT_TEXT,0,공용 로그아웃 텍스트,Logout
COMMON_SAVE_TEXT,0,공용 저장 텍스트,Save
COMMON_LOAD_TEXT,0,공용 로드 텍스트,Load
COMMON_NOTICE_TEXT,0,공용 알림 텍스트,Notice
COMMON_REVIEW_TEXT,0,공용 평가 텍스트,Review
COMMON_SUPPORTS_TEXT,0,공용 지원 텍스트,Supports
COMMON_BG_SND_TEXT,0,공용 배경음 텍스트,BGM
COMMON_FX_SND_TEXT,0,공용 효과음 텍스트,SFX
COMMON_WATCH_ADS_TEXT,0,공용 광고 시청 텍스트,Watch Ads
COMMON_RESTORE_PAYMENT_TEXT,0,공용 결제 복원 텍스트,Restore Payment
COMMON_LEVEL_TEXT,0,공용 레벨 텍스트,Level
COMMON_STAGE_TEXT,0,공용 스테이지 텍스트,Stage
COMMON_CHAPTER_TEXT,0,공용 챕터 텍스트,Chapter
COMMON_LEVEL_PAGE_TEXT_FMT,0,공용 레벨 페이지 텍스트 형식,Level {0}/{1}
COMMON_STAGE_PAGE_TEXT_FMT,0,공용 스테이지 페이지 텍스트 형식,Stage {0}/{1}
COMMON_CHAPTER_PAGE_TEXT_FMT,0,공용 챕터 페이지 텍스트 형식,Chapter {0}/{1}
STORE_P_TITLE,0,상점 팝업 타이틀,Store
SETTINGS_P_TITLE,0,설정 팝업 타이틀,Settings
SYNC_P_TITLE,0,동기화 팝업 타이틀,Sync
DAILY_MP_TITLE,0,일일 미션 팝업 타이틀,Daily Mission
FREE_RP_TITLE,0,무료 보상 팝업 타이틀,Free Reward
DAILY_RP_TITLE,0,일일 보상 팝업 타이틀,Daily Reward
SALE_CP_TITLE,0,판매 코인 팝업 타이틀,Sale Coins
